dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSCC02,8/21/2013 8:39,0.028,0.026,9/11/2013 10:44,0.04,0.039,                                                                                                    
HF002,6,GSCC02,9/11/2013 10:44,0.04,0.039,10/17/2013 9:25,0.046,0.045,                                                                                                    
HF002,6,GSCC02,10/17/2013 9:25,0.046,0.045,11/13/2013 13:20,0.076,0.078,                                                                                                    
HF002,6,GSCC02,11/13/2013 13:20,0.076,0.078,12/17/2013 9:03,0.192,0.207,
HF002,6,GSCC02,12/17/2013 9:03,0.206,0.207,1/7/2014 10:35,0.109,0.098,
HF002,6,GSCC02,1/7/2014 10:35,0.096,0.098,1/28/2014 13:05,0.136,0.139,
HF002,6,GSCC02,1/28/2014 13:05,0.136,0.139,2/26/2014 10:30,0.351,0.352,
HF002,6,GSCC02,2/26/2014 10:30,0.351,0.352,3/19/2014 8:57,0.347,0.345,
HF002,6,GSCC02,3/19/2014 8:57,0.341,0.345,4/15/2014 13:59,0.216,0.221,
HF002,6,GSCC02,4/15/2014 13:59,0.216,0.221,5/8/2014 8:54,0.223,0.229,
HF002,6,GSCC02,5/8/2014 8:54,0.223,0.229,5/19/2014 7:49,0.331,0.336,
HF002,6,GSCC02,5/19/2014 7:49,0.331,0.336,6/2/2014 12:44,0.163,0.169,
HF002,6,GSCC02,6/2/2014 12:44,0.163,0.169,6/27/2014 7:02,0.157,0.164,
HF002,6,GSCC02,6/27/2014 7:02,0.157,0.164,7/9/2014 12:17,0.086,0.089,Weir drained for annual maintenance &sediment survey
HF002,6,GSCC02,7/9/2014 12:17,0.085,0.089,7/10/2014 9:16,0.086,0.09,Restarted 7/10. Missing data is estimated.
HF002,6,GSCC02,7/10/2014 9:16,0.086,0.09,8/5/2014 7:42,0.037,0.038,HG Correction Change .233 to .229 7/10/14 (+.004)
HF002,6,GSCC02,8/5/2014 7:42,0.037,0.038,8/26/2014 7:45,0.024,0.025,
HF002,6,GSCC02,8/26/2014 7:45,0.024,0.025,9/16/2014 8:48,0.018,0.016,
HF002,6,GSCC02,9/16/2014 8:48,0.018,0.016,10/23/2014 11:43,0.175,0.18,
HF002,6,GSCC02,10/23/2014 11:43,0.18,0.18,,,,
