dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS07,8/13/2013 12:21,0.091,0.09,8/20/2013 10:53,0.089,0.085,                                                                                                    
HF002,6,GSWS07,8/20/2013 10:53,0.089,0.085,8/27/2013 11:15,0.087,0.085,                                                                                                    
HF002,6,GSWS07,8/27/2013 11:15,0.087,0.085,9/3/2013 17:08,0.08,0.078,                                                                                                    
HF002,6,GSWS07,9/3/2013 17:08,0.08,0.078,9/10/2013 13:34,0.089,0.066,Leaf blocking v-notch on 9/10.                                                                      
HF002,6,GSWS07,9/10/2013 13:34,0.066,0.066,9/26/2013 11:57,0.109,0.106,V-notch removed 9/26/13 @ 1157                                                                      
HF002,6,GSWS07,9/26/2013 11:57,0.057,0.058,10/1/2013 10:47,0.236,0.235,                                                                                                    
HF002,6,GSWS07,10/1/2013 10:47,0.236,0.235,10/23/2013 9:30,0.08,0.077,                                                                                                    
HF002,6,GSWS07,10/23/2013 9:30,0.08,0.077,11/13/2013 11:36,0.174,0.101,Found Debris blocking flume 11/13@1136
HF002,6,GSWS07,11/13/2013 11:36,0.101,0.101,12/3/2013 16:50,0.244,0.241,
HF002,6,GSWS07,12/3/2013 16:50,0.241,0.241,12/22/2013 11:48,0.149,0.149,Flume cleaned 12/22@1148
HF002,6,GSWS07,12/22/2013 11:48,0.149,0.149,1/15/2014 13:18,0.257,0.259,
HF002,6,GSWS07,1/15/2014 13:18,0.257,0.259,2/5/2014 14:46,0.166,0.166,
HF002,6,GSWS07,2/5/2014 14:46,0.166,0.166,2/14/2014 16:20,0.779,0.782,
HF002,6,GSWS07,2/14/2014 16:20,0.779,0.782,2/25/2014 11:59,0.288,0.29,
HF002,6,GSWS07,2/25/2014 11:59,0.288,0.29,3/20/2014 15:55,0.189,0.189,
HF002,6,GSWS07,3/20/2014 15:55,0.189,0.189,4/9/2014 12:19,0.237,0.238,
HF002,6,GSWS07,4/9/2014 12:19,0.237,0.238,4/30/2014 11:24,0.247,0.248,
HF002,6,GSWS07,4/30/2014 11:24,0.247,0.248,5/6/2014 13:54,0.188,0.189,
HF002,6,GSWS07,5/6/2014 13:54,0.188,0.189,5/13/2014 14:09,0.253,0.253,
HF002,6,GSWS07,5/13/2014 14:09,0.253,0.253,5/21/2014 11:39,0.163,0.164,
HF002,6,GSWS07,5/21/2014 11:39,0.163,0.164,5/27/2014 18:32,0.132,0.132,
HF002,6,GSWS07,5/27/2014 18:32,0.132,0.132,6/4/2014 12:12,0.109,0.11,
HF002,6,GSWS07,6/4/2014 12:12,0.109,0.11,6/11/2014 9:23,0.096,0.098,
HF002,6,GSWS07,6/11/2014 9:23,0.096,0.098,6/17/2014 14:39,0.101,0.102,
HF002,6,GSWS07,6/17/2014 14:39,0.101,0.102,6/23/2014 9:14,0.083,0.083,
HF002,6,GSWS07,6/23/2014 9:14,0.083,0.083,7/2/2014 12:14,0.076,0.079,V-notch installed 7/2@1214
HF002,6,GSWS07,7/2/2014 12:14,0.123,0.123,7/7/2014 13:51,0.109,0.109,
HF002,6,GSWS07,7/7/2014 13:51,0.109,0.109,7/15/2014 12:33,0.098,0.096,
HF002,6,GSWS07,7/15/2014 12:33,0.098,0.096,7/22/2014 10:31,0.099,0.098,
HF002,6,GSWS07,7/22/2014 10:31,0.099,0.098,7/29/2014 13:14,0.086,0.082,
HF002,6,GSWS07,7/29/2014 13:14,0.086,0.082,8/12/2014 11:00,0.082,0.075,Stick blocking v-notch 8/12@1100
HF002,6,GSWS07,8/12/2014 11:00,0.076,0.075,8/19/2014 14:41,0.066,0.064,
HF002,6,GSWS07,8/19/2014 14:41,0.066,0.064,8/26/2014 17:13,0.052,0.049,
HF002,6,GSWS07,8/26/2014 17:13,0.049,0.049,9/3/2014 9:42,0.063,0.064,
HF002,6,GSWS07,9/3/2014 9:42,0.063,0.064,9/9/2014 14:19,0.054,0.054,
HF002,6,GSWS07,9/9/2014 14:19,0.054,0.054,9/16/2014 13:21,0.052,0.05,
HF002,6,GSWS07,9/16/2014 13:21,0.052,0.05,9/23/2014 14:42,0.046,0.045,
HF002,6,GSWS07,9/23/2014 14:42,0.046,0.045,9/30/2014 13:08,0.091,0.093,V-notch removed 9/30@1308
HF002,6,GSWS07,9/30/2014 13:08,0.05,0.05,10/7/2014 12:43,0.041,0.039,
HF002,6,GSWS07,10/7/2014 12:43,0.041,0.039,,,,
