dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS10,8/13/2013 16:29,0.063,0.062,8/20/2013 18:45,0.055,0.055,                                                                                                    
HF002,6,GSWS10,8/20/2013 18:45,0.055,0.055,8/27/2013 15:36,0.068,0.066,                                                                                                    
HF002,6,GSWS10,8/27/2013 15:36,0.068,0.066,9/4/2013 8:38,0.064,0.065,                                                                                                    
HF002,6,GSWS10,9/4/2013 8:38,0.064,0.065,9/11/2013 9:41,0.067,0.066,                                                                                                    
HF002,6,GSWS10,9/11/2013 9:41,0.067,0.066,9/24/2013 13:33,0.185,0.188,V-notch removed 9/24/13 @ 1333                                                                      
HF002,6,GSWS10,9/24/2013 13:33,0.049,0.05,10/1/2013 16:50,0.108,0.109,                                                                                                    
HF002,6,GSWS10,10/1/2013 16:50,0.108,0.109,10/21/2013 15:41,0.01,0.011,Algae brushed off flume 10/21@1541
HF002,6,GSWS10,10/21/2013 15:41,0.008,0.011,11/12/2013 10:50,0.03,0.03,
HF002,6,GSWS10,11/12/2013 10:50,0.03,0.03,12/4/2013 8:38,0.105,0.1,
HF002,6,GSWS10,12/4/2013 8:38,0.105,0.1,12/23/2013 7:51,0.072,0.066,Flume cleaned 12/23@0751
HF002,6,GSWS10,12/23/2013 7:51,0.066,0.066,1/14/2014 11:00,0.141,0.138,
HF002,6,GSWS10,1/14/2014 11:00,0.141,0.138,2/4/2014 17:56,0.056,0.056,
HF002,6,GSWS10,2/4/2014 17:56,0.056,0.056,2/14/2014 11:20,0.651,0.65,
HF002,6,GSWS10,2/14/2014 11:20,0.651,0.65,2/24/2014 15:57,0.106,0.104,Flume entry pool cleaned 2/24@1557
HF002,6,GSWS10,2/24/2014 15:57,0.103,0.104,3/18/2014 10:32,0.091,0.089,
HF002,6,GSWS10,3/18/2014 10:32,0.091,0.089,4/8/2014 12:52,0.107,0.107,
HF002,6,GSWS10,4/8/2014 12:52,0.107,0.107,4/29/2014 17:11,0.117,0.116,Algae brushed off flume 4/29@1711
HF002,6,GSWS10,4/29/2014 17:11,0.114,0.116,5/7/2014 8:07,0.046,0.047,
HF002,6,GSWS10,5/7/2014 8:07,0.046,0.047,5/13/2014 8:02,0.083,0.082,
HF002,6,GSWS10,5/13/2014 8:02,0.083,0.082,5/21/2014 8:05,0.047,0.046,Algae brushed off flume 5/21@0805
HF002,6,GSWS10,5/21/2014 8:05,0.047,0.045,6/4/2014 6:42,0.025,0.025,
HF002,6,GSWS10,6/4/2014 6:42,0.025,0.025,6/10/2014 11:59,0.02,0.02,Algae brushed off flume 6/10@1159
HF002,6,GSWS10,6/10/2014 11:59,0.019,0.02,6/17/2014 8:17,0.018,0.017,
HF002,6,GSWS10,6/17/2014 8:17,0.018,0.017,7/1/2014 13:32,0.013,0.016,Installed v-notch 7/1@1332
HF002,6,GSWS10,7/1/2014 13:32,0.12,0.12,7/7/2014 17:01,0.107,0.106,
HF002,6,GSWS10,7/7/2014 17:01,0.107,0.106,7/15/2014 17:46,0.094,0.09,
HF002,6,GSWS10,7/15/2014 17:46,0.094,0.09,7/22/2014 17:39,0.09,0.089,
HF002,6,GSWS10,7/22/2014 17:39,0.09,0.089,7/29/2014 10:44,0.096,0.094,
HF002,6,GSWS10,7/29/2014 10:44,0.096,0.094,8/4/2014 15:48,0.077,0.072,
HF002,6,GSWS10,8/4/2014 15:48,0.071,0.072,8/13/2014 11:28,0.079,0.082,
HF002,6,GSWS10,8/13/2014 11:28,0.079,0.082,8/19/2014 8:40,0.072,0.072,
HF002,6,GSWS10,8/19/2014 8:40,0.072,0.072,8/26/2014 9:09,0.068,0.066,
HF002,6,GSWS10,8/26/2014 9:09,0.068,0.066,9/2/2014 18:55,0.053,0.054,
HF002,6,GSWS10,9/2/2014 18:55,0.053,0.054,9/9/2014 7:58,0.059,0.059,
HF002,6,GSWS10,9/9/2014 7:58,0.059,0.059,9/16/2014 8:00,0.055,0.055,
HF002,6,GSWS10,9/16/2014 8:00,0.055,0.055,9/23/2014 8:39,0.055,0.054,
HF002,6,GSWS10,9/23/2014 8:39,0.055,0.054,10/1/2014 12:49,0.071,0.07,V-notch removed 10/01@1249
HF002,6,GSWS10,10/1/2014 12:49,0.009,0.009,10/6/2014 16:05,0.009,0.006,
HF002,6,GSWS10,10/6/2014 16:05,0.005,0.006,,,,
