dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS03,8/13/2013 13:50,0.23,0.23,8/20/2013 15:13,0.218,0.214,                                                                                                    
HF002,6,GSWS03,8/20/2013 15:13,0.218,0.214,8/27/2013 13:40,0.226,0.223,                                                                                                    
HF002,6,GSWS03,8/27/2013 13:40,0.226,0.223,9/10/2013 17:07,0.205,0.208,                                                                                                    
HF002,6,GSWS03,9/10/2013 17:07,0.205,0.208,9/25/2013 14:03,0.357,0.353,V-notch removed 9/25/13@1403                                                                        
HF002,6,GSWS03,9/25/2013 14:03,0.089,0.088,10/1/2013 13:45,0.255,0.255,                                                                                                    
HF002,6,GSWS03,10/1/2013 13:45,0.255,0.255,10/22/2013 16:10,0.257,0.253,                                                                                                    
HF002,6,GSWS03,10/22/2013 16:10,0.252,0.253,11/12/2013 15:05,0.1,0.095,
HF002,6,GSWS03,11/12/2013 15:05,0.095,0.095,12/4/2013 17:50,0.214,0.209,
HF002,6,GSWS03,12/4/2013 17:50,0.209,0.209,12/22/2013 15:32,0.157,0.15,Cleaned algae off flume 12/22@1532
HF002,6,GSWS03,12/22/2013 15:32,0.151,0.15,1/14/2014 17:26,0.269,0.264,
HF002,6,GSWS03,1/14/2014 17:26,0.265,0.264,2/4/2014 14:12,0.174,0.172,
HF002,6,GSWS03,2/4/2014 14:12,0.174,0.172,2/15/2014 7:56,0.816,0.813,
HF002,6,GSWS03,2/15/2014 7:56,0.816,0.813,2/25/2014 14:32,0.275,0.27,Flume entry pool was cleaned 2/25@1432
HF002,6,GSWS03,2/25/2014 14:32,0.27,0.27,3/18/2014 16:53,0.231,0.229,
HF002,6,GSWS03,3/18/2014 16:53,0.231,0.229,4/8/2014 18:03,0.266,0.264,
HF002,6,GSWS03,4/8/2014 18:03,0.266,0.264,4/29/2014 11:36,0.274,0.276,
HF002,6,GSWS03,4/29/2014 11:36,0.274,0.276,5/6/2014 16:35,0.174,0.172,
HF002,6,GSWS03,5/6/2014 16:35,0.174,0.172,5/13/2014 10:35,0.219,0.216,
HF002,6,GSWS03,5/13/2014 10:35,0.219,0.216,5/20/2014 16:17,0.162,0.163,
HF002,6,GSWS03,5/20/2014 16:17,0.162,0.163,5/27/2014 16:37,0.117,0.115,
HF002,6,GSWS03,5/27/2014 16:37,0.117,0.115,6/4/2014 9:15,0.096,0.095,
HF002,6,GSWS03,6/4/2014 9:15,0.096,0.095,6/10/2014 16:56,0.077,0.076,
HF002,6,GSWS03,6/10/2014 16:56,0.077,0.076,6/17/2014 12:39,0.087,0.084,
HF002,6,GSWS03,6/17/2014 12:39,0.087,0.084,6/30/2014 15:41,0.067,0.062,V-notch installed 6/30@1541
HF002,6,GSWS03,6/30/2014 15:41,0.31,0.31,7/15/2014 14:53,0.268,0.264,
HF002,6,GSWS03,7/15/2014 14:53,0.268,0.264,7/22/2014 13:52,0.263,0.263,
HF002,6,GSWS03,7/22/2014 13:52,0.263,0.263,7/30/2014 13:45,0.243,0.241,
HF002,6,GSWS03,7/30/2014 13:45,0.243,0.241,8/12/2014 6:30,0.225,0.225,
HF002,6,GSWS03,8/12/2014 6:30,0.225,0.225,8/19/2014 12:24,0.219,0.219,
HF002,6,GSWS03,8/19/2014 12:24,0.219,0.219,8/26/2014 11:23,0.208,0.208,
HF002,6,GSWS03,8/26/2014 11:23,0.208,0.208,9/2/2014 15:42,0.205,0.204,
HF002,6,GSWS03,9/2/2014 15:42,0.205,0.204,9/16/2014 10:55,0.189,0.19,
HF002,6,GSWS03,9/16/2014 10:55,0.189,0.19,9/23/2014 17:33,0.188,0.187,
HF002,6,GSWS03,9/23/2014 17:33,0.188,0.187,9/29/2014 17:14,0.205,0.204,V-notch removed 9/29@1714
HF002,6,GSWS03,9/29/2014 17:14,0.037,0.037,10/7/2014 10:54,0.032,0.032,
HF002,6,GSWS03,10/7/2014 10:54,0.032,0.032,,,,
