dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSCC03,9/16/2014 9:08,0.050,0.048,10/23/2014 12:02,0.205,0.203,
HF002,6,GSCC03,10/23/2014 12:02,0.205,0.203,11/24/2014 12:40,0.324,0.326,
HF002,6,GSCC03,11/24/2014 12:40,0.324,0.326,12/15/2014 13:18,0.292,0.293,
HF002,6,GSCC03,12/15/2014 13:18,0.292,0.293,12/29/2014 9:40,0.465,0.464,All intakes covered w/ sediment 12/29. Data is Q. Estimated start 12/20 @ 2000hr
HF002,6,GSCC03,12/29/2014 9:40,0.465,0.464,2/3/2015 14:39,0.711,0.697,Intakes still buried. Data is Questionable
HF002,6,GSCC03,2/3/2015 14:39,0.698,0.697,3/4/2015 12:18,0.207,0.220,Intakes still buried. Data is Questionable
HF002,6,GSCC03,3/4/2015 12:18,0.219,0.220,3/10/2015 9:35,0.186,0.188,Upper 2 intakes uncovered 3/10@0935. Data still Q.
HF002,6,GSCC03,3/10/2015 9:35,0.188,0.188,3/31/2015 7:49,0.258,0.252,Data is Questionable.
HF002,6,GSCC03,3/31/2015 7:49,0.252,0.252,4/28/2015 7:46,0.193,0.188,Data is Questionable.
HF002,6,GSCC03,4/28/2015 7:46,0.188,0.188,5/21/2015 8:59,0.148,0.144,Data is Questionable.
HF002,6,GSCC03,5/21/2015 8:59,0.144,0.144,6/16/2015 8:03,0.109,0.101,Data is Questionable.
HF002,6,GSCC03,6/16/2015 8:03,0.100,0.101,7/8/2015 8:39,0.070,0.070,Data is Q. Weir drained 7/8 for survey & maintenance. Data missing until reset.
HF002,6,GSCC03,7/8/2015 8:39,0.070,0.070,7/9/2015 9:29,0.080,0.080,Reset 7/9. All intakes uncovered. Missing data needs to be estimated.
HF002,6,GSCC03,7/9/2015 9:29,0.080,0.080,,,,
