dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS08,9/23/2014 15:27,0.067,0.065,9/30/2014 15:52,0.142,0.143,V-notch removed 9/30@1552
HF002,6,GSWS08,9/30/2014 15:52,0.058,0.059,10/7/2014 13:23,0.028,0.028,
HF002,6,GSWS08,10/7/2014 13:23,0.028,0.028,10/14/2014 13:45,0.042,0.043,
HF002,6,GSWS08,10/14/2014 13:45,0.042,0.043,10/21/2014 15:41,0.089,0.091,
HF002,6,GSWS08,10/21/2014 15:41,0.089,0.091,10/28/2014 15:38,0.164,0.166,
HF002,6,GSWS08,10/28/2014 15:38,0.164,0.166,11/4/2014 14:29,0.24,0.242,
HF002,6,GSWS08,11/4/2014 14:29,0.24,0.242,11/25/2014 15:19,0.344,0.348,
HF002,6,GSWS08,11/25/2014 15:19,0.344,0.348,12/16/2014 12:17,0.191,0.195,
HF002,6,GSWS08,12/16/2014 12:17,0.191,0.195,12/22/2014 15:38,0.791,0.788,Cleaned flume entry pool 12/22@1540
HF002,6,GSWS08,12/22/2014 15:38,0.786,0.788,1/6/2015 11:47,0.241,0.243,
HF002,6,GSWS08,1/6/2015 11:47,0.241,0.243,1/26/2015 16:32,0.206,0.207,
HF002,6,GSWS08,1/26/2015 16:32,0.206,0.207,2/19/2015 13:44,0.187,0.188,
HF002,6,GSWS08,2/19/2015 13:44,0.187,0.188,3/11/2015 17:20,0.116,0.116,
HF002,6,GSWS08,3/11/2015 17:20,0.116,0.116,4/1/2015 12:55,0.199,0.201,
HF002,6,GSWS08,4/1/2015 12:55,0.199,0.201,4/22/2015 12:26,0.135,0.137,
HF002,6,GSWS08,4/22/2015 12:26,0.135,0.137,4/30/2015 12:08,0.122,0.122,
HF002,6,GSWS08,4/30/2015 12:08,0.122,0.122,5/6/2015 14:51,0.109,0.11,CR10x replaced with CR1000 5/6@1451 - 1545. Data missing
HF002,6,GSWS08,5/6/2015 14:51,0.109,0.11,5/13/2015 15:53,0.103,0.105,
HF002,6,GSWS08,5/13/2015 15:53,0.103,0.105,5/27/2015 17:07,0.102,0.102,
HF002,6,GSWS08,5/27/2015 17:07,0.102,0.102,6/2/2015 18:38,0.098,0.099,
HF002,6,GSWS08,6/2/2015 18:38,0.098,0.099,6/16/2015 14:35,0.072,0.075,Installed V-notch 6/16@1435
HF002,6,GSWS08,6/16/2015 14:35,0.163,0.163,6/22/2015 18:47,0.167,0.15,Debris blocking v-notch 6/22.
HF002,6,GSWS08,6/22/2015 18:47,0.152,0.15,6/30/2015 8:27,0.144,0.142,
HF002,6,GSWS08,6/30/2015 8:27,0.144,0.142,7/6/2015 14:10,0.127,0.125,
HF002,6,GSWS08,7/6/2015 14:10,0.127,0.125,7/14/2015 13:20,0.118,0.117,
HF002,6,GSWS08,7/14/2015 13:20,0.118,0.117,7/21/2015 9:35,0.11,0.109,
HF002,6,GSWS08,7/21/2015 9:35,0.11,0.109,7/28/2015 10:43,0.1,0.098,
HF002,6,GSWS08,7/28/2015 10:43,0.1,0.098,8/4/2015 17:30,0.078,0.076,
HF002,6,GSWS08,8/4/2015 17:30,0.078,0.076,,,,
