dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSCC04,9/16/2014 9:30,0.073,0.073,10/23/2014 12:35,0.237,0.234,
HF002,6,GSCC04,10/23/2014 12:35,0.237,0.234,11/24/2014 13:15,0.415,0.408,
HF002,6,GSCC04,11/24/2014 13:15,0.409,0.408,12/15/2014 13:42,0.333,0.326,
HF002,6,GSCC04,12/15/2014 13:42,0.326,0.326,12/29/2014 10:03,0.501,0.495,
HF002,6,GSCC04,12/29/2014 10:03,0.495,0.495,2/3/2015 14:09,0.768,0.767,
HF002,6,GSCC04,2/3/2015 14:09,0.767,0.767,3/4/2015 12:46,0.226,0.222,
HF002,6,GSCC04,3/4/2015 12:46,0.222,0.222,3/31/2015 8:16,0.274,0.277,
HF002,6,GSCC04,3/31/2015 8:16,0.274,0.277,4/28/2015 8:08,0.196,0.193,
HF002,6,GSCC04,4/28/2015 8:08,0.196,0.193,5/21/2015 9:36,0.147,0.148,
HF002,6,GSCC04,5/21/2015 9:36,0.147,0.148,6/16/2015 8:37,0.119,0.114,
HF002,6,GSCC04,6/16/2015 8:37,0.113,0.114,7/8/2015 9:37,0.095,0.095,Weir drained 7/8 for annual survey & maintenance. Data missing until reset.
HF002,6,GSCC04,7/8/2015 9:37,0.095,0.095,,,,Reset 7/   . Missing data needs estimation.
