dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS08,8/13/2013 12:48,0.126,0.126,8/20/2013 11:39,0.111,0.109,                                                                                                    
HF002,6,GSWS08,8/20/2013 11:39,0.111,0.109,8/27/2013 11:27,0.109,0.11,                                                                                                    
HF002,6,GSWS08,8/27/2013 11:27,0.109,0.11,9/3/2013 16:47,0.086,0.085,                                                                                                    
HF002,6,GSWS08,9/3/2013 16:47,0.086,0.085,9/10/2013 14:30,0.094,0.093,                                                                                                    
HF002,6,GSWS08,9/10/2013 14:30,0.094,0.093,9/26/2013 14:58,0.181,0.18,V-notch removed 9/26/13 @ 1458                                                                      
HF002,6,GSWS08,9/26/2013 14:58,0.087,0.087,10/1/2013 11:15,0.443,0.438,                                                                                                    
HF002,6,GSWS08,10/1/2013 11:15,0.443,0.438,10/23/2013 12:30,0.105,0.1,                                                                                                    
HF002,6,GSWS08,10/23/2013 12:30,0.101,0.1,11/3/2013 12:40,0.148,0.146,
HF002,6,GSWS08,11/3/2013 12:40,0.148,0.146,12/3/2013 12:30,0.314,0.313,
HF002,6,GSWS08,12/3/2013 12:30,0.314,0.313,12/22/2013 10:55,0.19,0.187,Found rock blocking flume 12/22@1055
HF002,6,GSWS08,12/22/2013 10:55,0.19,0.187,1/15/2014 14:20,0.35,0.348,
HF002,6,GSWS08,1/15/2014 14:20,0.351,0.348,2/5/2014 13:42,0.191,0.188,
HF002,6,GSWS08,2/5/2014 13:42,0.19,0.188,2/14/2014 16:50,0.959,0.955,
HF002,6,GSWS08,2/14/2014 16:50,0.959,0.955,2/25/2014 11:04,0.396,0.4,Flume entry pool cleaned 2/25@1104
HF002,6,GSWS08,2/25/2014 11:04,0.402,0.4,3/20/2014 14:52,0.213,0.21,
HF002,6,GSWS08,3/20/2014 14:52,0.213,0.21,4/9/2014 11:13,0.317,0.316,
HF002,6,GSWS08,4/9/2014 11:13,0.317,0.316,4/30/2014 12:43,0.311,0.311,
HF002,6,GSWS08,4/30/2014 12:43,0.311,0.311,5/6/2014 14:11,0.225,0.222,
HF002,6,GSWS08,5/6/2014 14:11,0.225,0.222,5/13/2014 13:45,0.335,0.333,
HF002,6,GSWS08,5/13/2014 13:45,0.335,0.333,5/21/2014 12:51,0.189,0.185,
HF002,6,GSWS08,5/21/2014 12:51,0.184,0.185,5/27/2014 18:53,0.145,0.15,
HF002,6,GSWS08,5/27/2014 18:53,0.148,0.15,6/4/2014 11:36,0.121,0.125,
HF002,6,GSWS08,6/4/2014 11:36,0.121,0.125,6/11/2014 10:20,0.102,0.108,
HF002,6,GSWS08,6/11/2014 10:20,0.108,0.108,6/17/2014 15:13,0.122,0.118,
HF002,6,GSWS08,6/17/2014 15:13,0.122,0.118,6/23/2014 10:10,0.096,0.091,
HF002,6,GSWS08,6/23/2014 10:10,0.091,0.091,7/2/2014 15:00,0.093,0.093,V-notch installed 7/2@1500
HF002,6,GSWS08,7/2/2014 15:00,0.193,0.193,7/7/2014 13:26,0.179,0.177,
HF002,6,GSWS08,7/7/2014 13:26,0.179,0.177,7/15/2014 13:01,0.159,0.159,
HF002,6,GSWS08,7/15/2014 13:01,0.159,0.159,7/22/2014 11:04,0.149,0.149,
HF002,6,GSWS08,7/22/2014 11:04,0.149,0.149,7/29/2014 13:48,0.139,0.142,
HF002,6,GSWS08,7/29/2014 13:48,0.139,0.142,8/12/2014 12:37,0.116,0.116,
HF002,6,GSWS08,8/12/2014 12:37,0.116,0.116,8/19/2014 15:28,0.104,0.114,
HF002,6,GSWS08,8/19/2014 15:28,0.104,0.114,8/26/2014 16:52,0.092,0.09,
HF002,6,GSWS08,8/26/2014 16:52,0.092,0.09,9/3/2014 10:41,0.094,0.091,
HF002,6,GSWS08,9/3/2014 10:41,0.094,0.091,9/9/2014 15:04,0.08,0.079,
HF002,6,GSWS08,9/9/2014 15:04,0.08,0.079,9/16/2014 13:50,0.071,0.069,
HF002,6,GSWS08,9/16/2014 13:50,0.071,0.069,9/23/2014 15:27,0.067,0.065,
HF002,6,GSWS08,9/23/2014 15:27,0.067,0.065,9/30/2014 15:52,0.142,0.143,V-notch removed 9/30@1552
HF002,6,GSWS08,9/30/2014 15:52,0.058,0.059,10/7/2014 13:23,0.028,0.028,
HF002,6,GSWS08,10/7/2014 13:23,0.028,0.028,,,,
