dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS09,9/16/2014 8:45,0.037,0.035,9/23/2014 9:28,0.039,0.037,
HF002,6,GSWS09,9/23/2014 9:28,0.039,0.037,10/1/2014 10:30,0.072,0.071,V-notch removed 10/1@1030
HF002,6,GSWS09,10/1/2014 10:30,0.004,0.004,10/7/2014 8:50,0.002,0.001,
HF002,6,GSWS09,10/7/2014 8:50,0.002,0.001,10/15/2014 13:41,0.009,0.009,
HF002,6,GSWS09,10/15/2014 13:41,0.009,0.009,10/21/2014 11:08,0.015,0.016,
HF002,6,GSWS09,10/21/2014 11:08,0.015,0.016,10/28/2014 9:31,0.012,0.011,
HF002,6,GSWS09,10/28/2014 9:31,0.012,0.011,11/5/2014 11:52,0.048,0.048,
HF002,6,GSWS09,11/5/2014 11:52,0.048,0.048,11/25/2014 8:33,0.06,0.06,
HF002,6,GSWS09,11/25/2014 8:33,0.06,0.06,12/16/2014 17:46,0.026,0.029,
HF002,6,GSWS09,12/16/2014 17:46,0.026,0.029,12/22/2014 18:28,0.29,0.288,Cleaned flume entry pool 12/22@1830
HF002,6,GSWS09,12/22/2014 18:28,0.285,0.288,1/7/2015 9:28,0.06,0.06,
HF002,6,GSWS09,1/7/2015 9:28,0.06,0.06,1/27/2015 11:39,0.042,0.042,
HF002,6,GSWS09,1/27/2015 11:39,0.042,0.042,2/18/2015 10:46,0.036,0.038,
HF002,6,GSWS09,2/18/2015 10:46,0.036,0.038,3/10/2015 13:50,0.021,0.021,
HF002,6,GSWS09,3/10/2015 13:50,0.021,0.021,3/31/2015 14:00,0.034,0.034,
HF002,6,GSWS09,3/31/2015 14:00,0.034,0.034,4/21/2015 14:56,0.016,0.015,Cleaned algea off flume 4/21@1500
HF002,6,GSWS09,4/21/2015 14:56,0.013,0.015,4/29/2015 8:14,0.013,0.014,
HF002,6,GSWS09,4/29/2015 8:14,0.013,0.014,5/5/2015 16:45,0.011,0.012,
HF002,6,GSWS09,5/5/2015 16:45,0.011,0.012,5/12/2015 14:57,0.012,0.013,CR10 replaced w/ CR1000 5/12@1500 to1630. Data missing.
HF002,6,GSWS09,5/12/2015 14:57,0.012,0.013,5/26/2015 15:14,0.009,0.01,Found CR1000 time 1hr fast on 5/13@1820. Time corrected.
HF002,6,GSWS09,5/26/2015 15:14,0.009,0.01,6/4/2015 10:39,0.009,0.009,
HF002,6,GSWS09,6/4/2015 10:39,0.009,0.009,6/9/2015 11:22,0.007,0.005,Cleaned out algea & debris build-up in flume 6/9.
HF002,6,GSWS09,6/9/2015 11:22,0.005,0.005,6/17/2015 16:16,0.004,0.005,Installed V-notch 6/17@1616.
HF002,6,GSWS09,6/17/2015 16:16,0.075,0.074,6/23/2015 17:08,0.079,0.068,Debris blocking V-notch 6/23.
HF002,6,GSWS09,6/23/2015 17:08,0.068,0.068,6/30/2015 11:33,0.074,0.073,
HF002,6,GSWS09,6/30/2015 11:33,0.074,0.073,7/15/2015 13:08,0.058,0.058,
HF002,6,GSWS09,7/15/2015 13:08,0.058,0.058,7/21/2015 14:52,0.042,0.042,
HF002,6,GSWS09,7/21/2015 14:52,0.042,0.042,7/28/2015 14:50,0.042,0.041,
HF002,6,GSWS09,7/28/2015 14:50,0.042,0.041,8/3/2015 17:28,0.036,0.033,
HF002,6,GSWS09,8/3/2015 17:28,0.032,0.033,,,,
