"GSCC02","2014-10-20 10:55:00",0.062,0.062,"A","NA"
"GSCC02","2014-10-20 11:15:00",0.064,0.064,"A","NA"
"GSCC02","2014-10-20 11:30:00",0.07,0.07,"A","NA"
"GSCC02","2014-10-20 12:20:00",0.082,0.082,"A","NA"
"GSCC02","2014-10-20 12:45:00",0.085,0.085,"A","NA"
"GSCC02","2014-10-20 13:05:00",0.086,0.086,"A","NA"
"GSCC02","2014-10-20 13:15:00",0.086,0.086,"A","NA"
"GSCC02","2014-10-20 13:45:00",0.087,0.087,"A","NA"
"GSCC02","2014-10-20 13:55:00",0.088,0.088,"A","NA"
"GSCC02","2014-10-20 14:15:00",0.088,0.088,"A","NA"
"GSCC02","2014-10-20 14:30:00",0.09,0.09,"A","NA"
"GSCC02","2014-10-20 14:50:00",0.09,0.09,"A","NA"
"GSCC02","2014-10-20 15:00:00",0.091,0.091,"A","NA"
"GSCC02","2014-10-20 15:10:00",0.092,0.092,"A","NA"
"GSCC02","2014-10-20 15:35:00",0.094,0.094,"A","NA"
"GSCC02","2014-10-20 15:55:00",0.095,0.095,"A","NA"
"GSCC02","2014-10-20 16:10:00",0.099,0.099,"A","NA"
"GSCC02","2014-10-20 16:20:00",0.099,0.099,"A","NA"
"GSCC02","2014-10-20 16:25:00",0.1,0.1,"A","NA"
"GSCC02","2014-10-20 18:35:00",0.1,0.1,"A","NA"
"GSCC02","2014-10-20 18:45:00",0.099,0.099,"A","NA"
"GSCC02","2014-10-20 19:00:00",0.098,0.098,"A","NA"
"GSCC02","2014-10-20 19:15:00",0.097,0.097,"A","NA"
"GSCC02","2014-10-20 19:30:00",0.096,0.096,"A","NA"
"GSCC02","2014-10-20 19:45:00",0.095,0.095,"A","NA"
"GSCC02","2014-10-20 20:00:00",0.094,0.094,"A","NA"
"GSCC02","2014-10-20 20:20:00",0.092,0.092,"A","NA"
"GSCC02","2014-10-20 20:35:00",0.092,0.092,"A","NA"
"GSCC02","2014-10-20 20:55:00",0.09,0.09,"A","NA"
"GSCC02","2014-10-20 21:10:00",0.089,0.089,"A","NA"
"GSCC02","2014-10-20 21:30:00",0.087,0.087,"A","NA"
"GSCC02","2014-10-20 21:45:00",0.086,0.086,"A","NA"
"GSCC02","2014-10-20 22:00:00",0.085,0.085,"A","NA"
"GSCC02","2014-10-20 22:15:00",0.084,0.084,"A","NA"
"GSCC02","2014-10-20 22:35:00",0.082,0.082,"A","NA"
"GSCC02","2014-10-20 22:55:00",0.082,0.082,"A","NA"
"GSCC02","2014-10-20 23:05:00",0.081,0.081,"A","NA"
"GSCC02","2014-10-20 23:15:00",0.08,0.08,"A","NA"
"GSCC02","2014-10-20 23:25:00",0.08,0.08,"A","NA"
"GSCC02","2014-10-20 23:45:00",0.079,0.079,"A","NA"
"GSCC02","2014-10-21 00:00:00",0.078,0.078,"A","NA"
"GSCC02","2014-10-21 00:25:00",0.077,0.077,"A","NA"
"GSCC02","2014-10-21 00:40:00",0.076,0.076,"A","NA"
"GSCC02","2014-10-21 01:05:00",0.075,0.075,"A","NA"
"GSCC02","2014-10-21 01:20:00",0.074,0.074,"A","NA"
"GSCC02","2014-10-21 01:45:00",0.073,0.073,"A","NA"
"GSCC02","2014-10-21 01:55:00",0.072,0.072,"A","NA"
"GSCC02","2014-10-21 02:15:00",0.072,0.072,"A","NA"
"GSCC02","2014-10-21 02:25:00",0.071,0.071,"A","NA"
"GSCC02","2014-10-21 02:55:00",0.07,0.07,"A","NA"
"GSCC02","2014-10-21 03:05:00",0.07,0.07,"A","NA"
"GSCC02","2014-10-21 03:30:00",0.069,0.069,"A","NA"
"GSCC02","2014-10-21 03:40:00",0.068,0.068,"A","NA"
"GSCC02","2014-10-21 05:35:00",0.068,0.068,"A","NA"
"GSCC02","2014-10-21 05:45:00",0.067,0.067,"A","NA"
"GSCC02","2014-10-21 06:10:00",0.066,0.066,"A","NA"
"GSCC02","2014-10-21 06:25:00",0.065,0.065,"A","NA"
"GSCC02","2014-10-21 07:55:00",0.064,0.064,"A","NA"
"GSCC02","2014-10-21 08:05:00",0.064,0.064,"A","NA"
"GSCC02","2014-10-21 09:15:00",0.063,0.063,"A","NA"
"GSCC02","2014-10-21 09:25:00",0.062,0.062,"A","NA"
"GSCC02","2014-10-21 10:45:00",0.062,0.062,"A","NA"
"GSCC02","2014-10-21 10:55:00",0.061,0.061,"A","NA"
"GSCC02","2014-10-21 12:15:00",0.06,0.06,"A","NA"
"GSCC02","2014-10-21 12:25:00",0.06,0.06,"A","NA"
"GSCC02","2014-10-21 14:35:00",0.059,0.059,"A","NA"
"GSCC02","2014-10-21 14:45:00",0.058,0.058,"A","NA"
"GSCC02","2014-10-21 17:15:00",0.058,0.058,"A","NA"
"GSCC02","2014-10-21 17:20:00",0.057,0.057,"A","NA"
"GSCC02","2014-10-21 17:25:00",0.058,0.058,"A","NA"
"GSCC02","2014-10-21 17:35:00",0.057,0.057,"A","NA"
"GSCC02","2014-10-21 17:45:00",0.058,0.058,"A","NA"
"GSCC02","2014-10-21 17:55:00",0.057,0.057,"A","NA"
"GSCC02","2014-10-22 00:00:00",0.056,0.056,"A","NA"
"GSCC02","2014-10-22 06:00:00",0.056,0.056,"A","NA"
"GSCC02","2014-10-22 06:10:00",0.055,0.055,"A","NA"
"GSCC02","2014-10-22 06:15:00",0.056,0.056,"A","NA"
"GSCC02","2014-10-22 06:25:00",0.055,0.055,"A","NA"
"GSCC02","2014-10-22 08:40:00",0.054,0.054,"A","NA"
"GSCC02","2014-10-22 08:50:00",0.054,0.054,"A","NA"
"GSCC02","2014-10-22 18:15:00",0.054,0.054,"A","NA"
"GSCC02","2014-10-22 18:30:00",0.056,0.056,"A","NA"
"GSCC02","2014-10-22 20:45:00",0.056,0.056,"A","NA"
"GSCC02","2014-10-22 20:55:00",0.058,0.058,"A","NA"
"GSCC02","2014-10-22 22:00:00",0.058,0.058,"A","NA"
"GSCC02","2014-10-22 22:10:00",0.06,0.06,"A","NA"
"GSCC02","2014-10-23 00:00:00",0.06,0.06,"A","NA"
"GSCC02","2014-10-23 00:40:00",0.061,0.061,"A","NA"
"GSCC02","2014-10-23 00:50:00",0.065,0.065,"A","NA"
"GSCC02","2014-10-23 01:05:00",0.067,0.067,"A","NA"
"GSCC02","2014-10-23 01:15:00",0.071,0.071,"A","NA"
"GSCC02","2014-10-23 01:30:00",0.072,0.072,"A","NA"
"GSCC02","2014-10-23 01:55:00",0.073,0.073,"A","NA"
"GSCC02","2014-10-23 02:15:00",0.078,0.078,"A","NA"
"GSCC02","2014-10-23 02:20:00",0.081,0.081,"A","NA"
"GSCC02","2014-10-23 02:35:00",0.082,0.082,"A","NA"
"GSCC02","2014-10-23 02:40:00",0.082,0.082,"A","NA"
"GSCC02","2014-10-23 03:05:00",0.089,0.089,"A","NA"
