"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS07","2014","2014","1","0.1366","0.3672","0.0438","2.3005","2.6524","A","0","31"
"HF004","2","GSWS07","2014","2014","2","0.6182","2.5283","0.0921","10.4115","10.8418","A","0","28"
"HF004","2","GSWS07","2014","2014","3","0.486","1.4817","0.0921","8.1845","9.4324","A","0","31"
"HF004","2","GSWS07","2014","2014","4","0.2334","0.7595","0.0708","3.9313","4.386","A","0","30"
"HF004","2","GSWS07","2014","2014","5","0.157","0.542","0.0515","2.6439","3.0482","A","0","31"
"HF004","2","GSWS07","2014","2014","6","0.0335","0.0515","0.0212","0.5643","0.6296","A","0","30"
"HF004","2","GSWS07","2014","2014","7","0.0109","0.0579","0.0046","0.1832","0.2112","A","0","31"
"HF004","2","GSWS07","2014","2014","8","0.0041","0.01","0.0015","0.0686","0.0791","A","0","31"
"HF004","2","GSWS07","2014","2014","9","0.0031","0.0369","0.0012","0.0519","0.0577","A","0","30"
"HF004","2","GSWS07","2014","2013","10","0.042","0.2179","0.0116","0.7077","0.8158","A","0","31"
"HF004","2","GSWS07","2014","2013","11","0.0808","0.405","0.0108","1.361","1.5184","A","0","30"
"HF004","2","GSWS07","2014","2013","12","0.0919","0.329","0.0542","1.5486","1.7851","A","0","31"
