"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS08","2015","2015","1","0.321","1.6843","0.0976","3.8765","4.4692","A","0","31"
"HF004","2","GSWS08","2015","2015","2","0.2791","1.0693","0.0832","3.3698","3.5091","A","0","28"
"HF004","2","GSWS08","2015","2015","3","0.1158","0.3712","0.0537","1.3981","1.6118","A","0","31"
"HF004","2","GSWS08","2015","2015","4","0.1187","0.18","0.0667","1.4334","1.5996","A","0","30"
"HF004","2","GSWS08","2015","2015","5","0.0565","0.1906","0.0443","0.6826","0.787","Q","1","31"
"HF004","2","GSWS08","2015","2015","6","0.032","0.2888","0.005","0.3865","0.4315","A","0","30"
"HF004","2","GSWS08","2015","2015","7","0.0128","0.0203","0.0055","0.1547","0.1784","A","0","31"
"HF004","2","GSWS08","2015","2015","8","0.0059","0.0067","0.005","0.0716","0.01","A","0","4"
"HF004","2","GSWS08","2015","2014","10","0.0528","0.5939","0.0045","0.6376","0.7352","A","0","31"
"HF004","2","GSWS08","2015","2014","11","0.4077","3.6047","0.0564","4.9228","5.4925","A","0","30"
"HF004","2","GSWS08","2015","2014","12","0.6921","5.7643","0.1269","8.3571","9.6348","A","0","31"
