"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS10","2014","2014","1","0.1714","0.6684","0.0196","4.3356","4.9983","A","0","31"
"HF004","2","GSWS10","2014","2014","2","0.6273","4.0402","0.0562","15.8681","16.5238","A","0","28"
"HF004","2","GSWS10","2014","2014","3","0.4784","1.939","0.0476","12.1029","13.9442","A","0","31"
"HF004","2","GSWS10","2014","2014","4","0.2108","1.3407","0.0395","5.3329","5.9496","A","0","30"
"HF004","2","GSWS10","2014","2014","5","0.1079","0.7981","0.0212","2.7288","3.1458","A","0","31"
"HF004","2","GSWS10","2014","2014","6","0.0143","0.0653","0.0064","0.3613","0.4032","A","0","30"
"HF004","2","GSWS10","2014","2014","7","0.0102","0.3062","0.0046","0.2578","0.2971","A","0","31"
"HF004","2","GSWS10","2014","2014","8","0.004","0.0085","0.0013","0.1009","0.1166","A","0","31"
"HF004","2","GSWS10","2014","2014","9","0.003","0.0586","0.001","0.0773","0.0863","A","0","30"
"HF004","2","GSWS10","2014","2013","10","0.0191","0.2082","0.0027","0.482","0.5558","A","0","31"
"HF004","2","GSWS10","2014","2013","11","0.1108","1.0558","0.0073","2.8023","3.1265","A","0","30"
"HF004","2","GSWS10","2014","2013","12","0.1051","1.7855","0.0244","2.6575","3.0638","A","0","31"
