"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS06","2014","2014","1","0.1755","0.4658","0.0553","3.5097","4.0464","A","0","31"
"HF004","2","GSWS06","2014","2014","2","0.8148","2.881","0.1224","16.2967","16.9701","A","0","28"
"HF004","2","GSWS06","2014","2014","3","0.6869","1.9899","0.0829","13.7389","15.8364","A","0","31"
"HF004","2","GSWS06","2014","2014","4","0.3229","1.0681","0.0936","6.4579","7.205","A","0","30"
"HF004","2","GSWS06","2014","2014","5","0.2125","0.6035","0.0674","4.2508","4.901","A","0","31"
"HF004","2","GSWS06","2014","2014","6","0.0404","0.0674","0.0252","0.8082","0.9016","A","0","30"
"HF004","2","GSWS06","2014","2014","7","0.0157","0.1169","0.008","0.3142","0.3621","A","0","31"
"HF004","2","GSWS06","2014","2014","8","0.0044","0.0085","0.0018","0.0874","0.1007","A","0","31"
"HF004","2","GSWS06","2014","2014","9","0.0016","0.0264","0.0003","0.0324","0.0364","A","0","30"
"HF004","2","GSWS06","2014","2013","10","0.0612","0.2584","0.022","1.2234","1.4105","A","0","31"
"HF004","2","GSWS06","2014","2013","11","0.1099","0.4228","0.0214","2.1976","2.4517","A","0","30"
"HF004","2","GSWS06","2014","2013","12","0.1157","0.3608","0.0706","2.3147","2.6687","A","0","31"
