"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS02","2014","2014","1","0.7564","2.3684","0.2215","3.2489","3.7456","A","0","31"
"HF004","2","GSWS02","2014","2014","2","3.2677","17.4177","0.4585","14.0359","14.6159","A","0","28"
"HF004","2","GSWS02","2014","2014","3","2.4372","6.4901","0.488","10.4687","12.0694","Q","1","31"
"HF004","2","GSWS02","2014","2014","4","1.1715","3.4168","0.4014","5.0318","5.6139","A","0","30"
"HF004","2","GSWS02","2014","2014","5","0.7317","2.4007","0.3256","3.143","3.6234","A","0","31"
"HF004","2","GSWS02","2014","2014","6","0.2279","0.4469","0.1595","0.9787","1.0919","A","0","30"
"HF004","2","GSWS02","2014","2014","7","0.1298","1.7274","0.0536","0.5576","0.643","A","0","31"
"HF004","2","GSWS02","2014","2014","8","0.0672","0.0911","0.0521","0.2885","0.3324","A","0","31"
"HF004","2","GSWS02","2014","2014","9","0.052","0.4292","0.0002","0.2232","0.249","A","0","30"
"HF004","2","GSWS02","2014","2013","10","0.2443","1.4643","0.0829","1.0494","1.2099","A","0","31"
"HF004","2","GSWS02","2014","2013","11","0.5169","2.8413","0.0863","2.2204","2.4774","A","0","30"
"HF004","2","GSWS02","2014","2013","12","0.5197","3.6922","0.2597","2.2324","2.5739","A","0","31"
