"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS01","2014","2014","1","1.537","6.3386","0.3202","4.1505","4.785","A","0","31"
"HF004","2","GSWS01","2014","2014","2","5.4295","42.1059","0.6975","14.6619","15.2677","A","0","28"
"HF004","2","GSWS01","2014","2014","3","4.1155","16.6532","0.6825","11.1136","12.8127","Q","1","31"
"HF004","2","GSWS01","2014","2014","4","1.8543","7.7935","0.4956","5.0073","5.5864","A","0","30"
"HF004","2","GSWS01","2014","2014","5","1.0838","6.3601","0.306","2.9268","3.3742","A","0","31"
"HF004","2","GSWS01","2014","2014","6","0.2351","1.9284","0.1086","0.6349","0.7083","A","0","30"
"HF004","2","GSWS01","2014","2014","7","0.0726","0.1603","0.0319","0.196","0.226","A","0","31"
"HF004","2","GSWS01","2014","2014","8","0.0306","0.0564","0.0161","0.0827","0.0954","A","0","31"
"HF004","2","GSWS01","2014","2014","9","0.0294","0.2248","0.0002","0.0794","0.0883","A","0","30"
"HF004","2","GSWS01","2014","2013","10","0.2808","1.8499","0.122","0.7584","0.8743","A","0","31"
"HF004","2","GSWS01","2014","2013","11","0.943","6.7304","0.122","2.5465","2.8411","A","0","30"
"HF004","2","GSWS01","2014","2013","12","0.9871","9.5547","0.3155","2.6654","3.073","A","0","31"
