"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS03","2015","2015","1","1.5561","10.2028","0.7267","3.9836","4.5926","A","0","31"
"HF004","2","GSWS03","2015","2015","2","1.5418","6.8595","0.6359","3.9469","4.1101","A","0","28"
"HF004","2","GSWS03","2015","2015","3","0.7736","3.0268","0.3902","1.9804","2.2831","A","0","31"
"HF004","2","GSWS03","2015","2015","4","0.7004","1.0235","0.4621","1.7929","2.0006","Q","1","30"
"HF004","2","GSWS03","2015","2015","5","0.3946","1.3782","0.2832","1.0101","1.1646","A","0","31"
"HF004","2","GSWS03","2015","2015","6","0.1921","0.3434","0.0022","0.4918","0.5487","Q","1","30"
"HF004","2","GSWS03","2015","2015","7","0.0941","0.1812","0.0651","0.2409","0.2777","A","0","31"
"HF004","2","GSWS03","2015","2015","8","0.0692","0.1019","0.0642","0.1773","0.0367","A","0","6"
"HF004","2","GSWS03","2015","2014","10","0.4266","4.3661","0.1061","1.092","1.259","A","0","31"
"HF004","2","GSWS03","2015","2014","11","2.2985","15.5001","0.3792","5.8842","6.565","A","0","30"
"HF004","2","GSWS03","2015","2014","12","4.0371","29.4723","0.7969","10.3349","11.9152","A","0","31"
