"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS02","2015","2015","1","1.7967","3.5077","0.3793","7.7173","8.8972","Q","20","31"
"HF004","2","GSWS02","2015","2015","2","0.9292","3.6303","0.31","3.9912","4.1562","A","0","28"
"HF004","2","GSWS02","2015","2015","3","0.3819","1.329","0.2032","1.6404","1.8909","A","0","31"
"HF004","2","GSWS02","2015","2015","4","0.3718","0.5059","0.2356","1.5969","1.7817","Q","4","30"
"HF004","2","GSWS02","2015","2015","5","0.1811","0.6432","0.131","0.7777","0.8967","A","0","31"
"HF004","2","GSWS02","2015","2015","6","0.1012","0.1725","0.0038","0.4346","0.4849","Q","1","30"
"HF004","2","GSWS02","2015","2015","7","0.0667","0.0889","0.0475","0.2864","0.33","A","0","31"
"HF004","2","GSWS02","2015","2015","8","0.0544","0.0544","0.0536","0.2338","0.0479","A","0","6"
"HF004","2","GSWS02","2015","2014","10","0.164","2.1331","0.022","0.7043","0.8121","A","0","31"
"HF004","2","GSWS02","2015","2014","11","1.443","7.413","0.1553","6.1982","6.9153","A","0","30"
"HF004","2","GSWS02","2015","2014","12","2.8755","19.3988","0.3048","12.3511","14.2394","Q","9","31"
