"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS10","2015","2015","1","0.1532","1.721","0.0379","3.8763","4.4691","A","0","31"
"HF004","2","GSWS10","2015","2015","2","0.1742","1.3804","0.0335","4.4056","4.5876","A","0","28"
"HF004","2","GSWS10","2015","2015","3","0.0714","0.3989","0.0181","1.8076","2.084","A","0","31"
"HF004","2","GSWS10","2015","2015","4","0.0624","0.1121","0.0335","1.5778","1.7602","A","0","30"
"HF004","2","GSWS10","2015","2015","5","0.0216","0.1396","0.0093","0.5469","0.6308","Q","3","31"
"HF004","2","GSWS10","2015","2015","6","0.0101","2.8334","0.0048","0.2555","0.2852","Q","7","30"
"HF004","2","GSWS10","2015","2015","7","0.0045","0.0222","0.0013","0.1127","0.1299","A","0","31"
"HF004","2","GSWS10","2015","2015","8","0.0028","0.0092","0.0015","0.0716","0.0072","A","0","3"
"HF004","2","GSWS10","2015","2014","10","0.035","11.9561","0.0","0.8864","1.0222","A","0","31"
"HF004","2","GSWS10","2015","2014","11","0.2714","2.483","0.0056","6.8654","7.6599","A","0","30"
"HF004","2","GSWS10","2015","2014","12","0.4531","4.1889","0.0634","11.4613","13.2136","A","0","31"
