"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS03","2014","2014","1","1.342","3.9072","0.4843","3.4354","3.961","A","0","31"
"HF004","2","GSWS03","2014","2014","2","5.4668","26.6475","0.8136","13.995","14.5735","A","0","28"
"HF004","2","GSWS03","2014","2014","3","3.9669","11.4192","0.8903","10.1553","11.7043","A","0","31"
"HF004","2","GSWS03","2014","2014","4","1.9239","6.5627","0.6926","4.9251","5.4949","A","0","30"
"HF004","2","GSWS03","2014","2014","5","1.1809","3.7828","0.5458","3.023","3.4852","A","0","31"
"HF004","2","GSWS03","2014","2014","6","0.4233","2.2369","0.2031","1.0836","1.2084","A","0","30"
"HF004","2","GSWS03","2014","2014","7","0.178","0.4726","0.128","0.4557","0.5257","A","0","31"
"HF004","2","GSWS03","2014","2014","8","0.109","0.1502","0.0874","0.2791","0.3215","A","0","31"
"HF004","2","GSWS03","2014","2014","9","0.095","0.7458","0.0013","0.2432","0.2716","A","0","30"
"HF004","2","GSWS03","2014","2013","10","0.4591","1.9462","0.2194","1.1752","1.3549","A","0","31"
"HF004","2","GSWS03","2014","2013","11","0.9573","4.8676","0.2318","2.4506","2.7342","A","0","30"
"HF004","2","GSWS03","2014","2013","12","0.9546","7.9815","0.557","2.4437","2.8174","A","0","31"
