"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS01","2015","2015","1","1.4528","13.878","0.5227","3.9232","4.523","A","0","31"
"HF004","2","GSWS01","2015","2015","2","1.5534","10.0853","0.4434","4.1949","4.3685","A","0","28"
"HF004","2","GSWS01","2015","2015","3","0.7047","2.6689","0.2966","1.9029","2.1939","A","0","31"
"HF004","2","GSWS01","2015","2015","4","0.6356","0.8996","0.3155","1.7165","1.915","Q","2","30"
"HF004","2","GSWS01","2015","2015","5","0.278","0.836","0.1863","0.7508","0.8654","A","0","31"
"HF004","2","GSWS01","2015","2015","6","0.1487","0.2087","0.0011","0.4014","0.2493","A","0","17"
"HF004","2","GSWS01","2015","2014","10","0.3129","3.8977","0.0521","0.845","0.9746","A","0","31"
"HF004","2","GSWS01","2015","2014","11","2.4709","22.0166","0.2178","6.6724","7.4445","A","0","30"
"HF004","2","GSWS01","2015","2014","12","4.3883","46.6568","0.705","11.8503","13.6621","A","0","31"
