"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS06","2015","2015","1","0.2732","1.1455","0.1036","5.4634","6.2988","A","0","31"
"HF004","2","GSWS06","2015","2015","2","0.2315","0.6878","0.0739","4.6302","4.8216","A","0","28"
"HF004","2","GSWS06","2015","2015","3","0.071","0.1381","0.041","1.4203","1.6376","A","0","31"
"HF004","2","GSWS06","2015","2015","4","0.0857","0.1115","0.0553","1.7132","1.9116","A","0","30"
"HF004","2","GSWS06","2015","2015","5","0.0346","0.0553","0.0173","0.6929","0.7989","Q","1","31"
"HF004","2","GSWS06","2015","2015","6","0.013","0.232","0.0007","0.2592","0.2894","A","0","30"
"HF004","2","GSWS06","2015","2015","7","0.0041","0.0159","0.0011","0.083","0.0957","A","0","31"
"HF004","2","GSWS06","2015","2015","8","0.0012","0.0015","0.0008","0.0244","0.0034","A","0","4"
"HF004","2","GSWS06","2015","2014","10","0.0111","0.1641","0.0011","0.2219","0.2558","A","0","31"
"HF004","2","GSWS06","2015","2014","11","0.2499","1.8106","0.0184","4.9985","5.5766","A","0","30"
"HF004","2","GSWS06","2015","2014","12","0.548","3.2416","0.1294","10.9599","12.6355","A","0","31"
